County,TotalPop,IncomePerCap,Poverty,Id,%Poverty,cases,deaths,TotalCases,TotalDeaths,TotalCasesper100k,TotalDeathsper100k
"Carter County, Tennessee",56500,352832,422,429,0.746902655,551714,12090,551714,12090,5.51714,0.1209
"Carteret County, North Carolina",68699,1189974,455.2,430,0.66260062,366683,2829,366683,2829,3.66683,0.02829
"Carver County, Minnesota",98799,879570,70.7,431,0.071559429,786706,3632,786706,3632,7.86706,0.03632
"Cascade County, Montana",81816,594111,332.7,432,0.406644177,731185,11414,731185,11414,7.31185,0.11414
"Casey County, Kentucky",15805,90789,131.8,433,0.833913319,123193,4337,123193,4337,1.23193,0.04337
"Cass County, Illinois",12880,128626,65.5,434,0.508540373,195485,4156,195485,4156,1.95485,0.04156
"Cass County, Indiana",38248,256151,148.2,435,0.38747124,781468,7678,781468,7678,7.81468,0.07678
"Cass County, Iowa",13327,132549,71.8,436,0.538755909,125541,3904,125541,3904,1.25541,0.03904
"Cass County, Michigan",51397,308117,148.8,437,0.289511061,385133,6821,385133,6821,3.85133,0.06821
"Cass County, Minnesota",28810,285874,146.9,438,0.509892398,206198,2350,206198,2350,2.06198,0.0235
"Cass County, Missouri",101888,596052,192.1,439,0.188540358,724830,8749,724830,8749,7.2483,0.08749
"Cass County, Nebraska",25513,194162,38.7,440,0.151687375,211046,1397,211046,1397,2.11046,0.01397
"Cass County, North Dakota",170620,1075731,466.2,441,0.273238776,2682624,29676,2682624,29676,26.82624,0.29676
"Cass County, Texas",30118,160710,126.8,442,0.421010691,167174,6975,167174,6975,1.67174,0.06975
"Cassia County, Idaho",23472,120712,85.9,443,0.365967962,354757,2737,354757,2737,3.54757,0.02737
"Castro County, Texas",7891,67273,40.3,444,0.510708402,104917,2316,104917,2316,1.04917,0.02316
"Caswell County, North Carolina",22833,135530,118.3,445,0.518109753,176809,1527,176809,1527,1.76809,0.01527
"Catahoula Parish, Louisiana",10044,61833,70.3,446,0.69992035,,,,,,
"Catawba County, North Carolina",156182,809768,461.8,447,0.29568068,1543225,22422,1543225,22422,15.43225,0.22422
"Cataño Municipio, Puerto Rico",25595,95629,591.4,448,2.310607541,,,,,,
"Catoosa County, Georgia",65870,282907,114.6,449,0.17397905,492987,6273,492987,6273,4.92987,0.06273
"Catron County, New Mexico",3547,22487,21.5,450,0.606146039,6745,465,6745,465,0.06745,0.00465
