County,TotalPop,IncomePerCap,Poverty,Id,%Poverty,cases,deaths,TotalCases,TotalDeaths,TotalCasesper100k,TotalDeathsper100k
"Clarion County, Pennsylvania",38747,242158,164.7,541,0.425065166,204752,4749,204752,4749,2.04752,0.04749
"Clark County, Arkansas",22495,101685,110.2,542,0.489886641,178924,2647,178924,2647,1.78924,0.02647
"Clark County, Idaho",1055,15283,24.2,543,2.293838863,8127,0,8127,0,0.08127,0
"Clark County, Illinois",15924,113110,57.3,544,0.359834213,143297,3258,143297,3258,1.43297,0.03258
"Clark County, Indiana",114893,685953,279.6,545,0.243356862,1141105,23581,1141105,23581,11.41105,0.23581
"Clark County, Kansas",2089,27087,8.9,546,0.426041168,27027,576,27027,576,0.27027,0.00576
"Clark County, Kentucky",35757,265386,151.2,547,0.422854266,198742,2622,198742,2622,1.98742,0.02622
"Clark County, Missouri",6807,80056,45,548,0.661084178,44636,479,44636,479,0.44636,0.00479
"Clark County, Nevada",2112436,13830663,7374.6,549,0.349104068,25142002,423373,25142002,423373,251.42002,4.23373
"Clark County, Ohio",135520,1061059,845.7,550,0.624040732,1125914,25000,1125914,25000,11.25914,0.25
"Clark County, South Dakota",3642,26759,13.3,551,0.365183965,36663,256,36663,256,0.36663,0.00256
"Clark County, Washington",457474,3315911,1125.8,552,0.246090488,1772518,25558,1772518,25558,17.72518,0.25558
"Clark County, Wisconsin",34513,188131,105.6,553,0.305971663,356825,6830,356825,6830,3.56825,0.0683
"Clarke County, Alabama",24625,178786,242.5,554,0.984771574,376778,4809,376778,4809,3.76778,0.04809
"Clarke County, Georgia",123554,649010,1106.1,555,0.895236091,1590666,12785,1590666,12785,15.90666,0.12785
"Clarke County, Iowa",9267,81534,41.6,556,0.448904716,104544,1278,104544,1278,1.04544,0.01278
"Clarke County, Mississippi",16089,80022,80.2,557,0.49847722,199420,11855,199420,11855,1.9942,0.11855
"Clarke County, Virginia",14331,123622,30.7,558,0.21422092,56403,649,56403,649,0.56403,0.00649
"Clatsop County, Oregon",38021,311931,137.3,559,0.361116225,77666,287,77666,287,0.77666,0.00287
"Clay County, Alabama",13407,83656,80.1,560,0.597449094,174766,4677,174766,4677,1.74766,0.04677
"Clay County, Arkansas",15190,115691,129,561,0.849242923,162538,4157,162538,4157,1.62538,0.04157
"Clay County, Florida",203291,817891,377.2,562,0.185546827,1757469,32854,1757469,32854,17.57469,0.32854
"Clay County, Georgia",3024,14559,41.4,563,1.369047619,35477,795,35477,795,0.35477,0.00795
"Clay County, Illinois",13393,104203,51.7,564,0.386022549,133533,3706,133533,3706,1.33533,0.03706
"Clay County, Indiana",26375,148991,77,565,0.291943128,221739,4033,221739,4033,2.21739,0.04033
"Clay County, Iowa",16387,116333,45.5,566,0.27765912,194827,1776,194827,1776,1.94827,0.01776
"Clay County, Kansas",8203,56680,18.6,567,0.226746312,68520,2056,68520,2056,0.6852,0.02056
"Clay County, Kentucky",20866,87650,246.6,568,1.181826895,203536,2107,203536,2107,2.03536,0.02107
"Clay County, Minnesota",62040,368507,171.9,569,0.277079304,795187,14482,795187,14482,7.95187,0.14482
"Clay County, Mississippi",19990,94494,131.1,570,0.655827914,210186,5838,210186,5838,2.10186,0.05838
"Clay County, Missouri",236068,1381207,426.4,571,0.180625921,924643,15348,924643,15348,9.24643,0.15348
"Clay County, Nebraska",6264,55445,22.2,572,0.35440613,65215,766,65215,766,0.65215,0.00766
"Clay County, North Carolina",10753,51943,34.4,573,0.319910723,58436,852,58436,852,0.58436,0.00852
"Clay County, South Dakota",13907,78248,70.5,574,0.506938952,215468,1685,215468,1685,2.15468,0.01685
"Clay County, Tennessee",7684,35054,54.7,575,0.711868818,105568,2920,105568,2920,1.05568,0.0292
"Clay County, Texas",10369,81837,46.5,576,0.448452117,76338,1236,76338,1236,0.76338,0.01236
"Clay County, West Virginia",8901,48572,76.3,577,0.857207055,29479,605,29479,605,0.29479,0.00605
"Clayton County, Georgia",274150,942059,1103.2,578,0.402407441,2455742,47306,2455742,47306,24.55742,0.47306
"Clayton County, Iowa",17711,164684,60.9,579,0.343854102,168708,4064,168708,4064,1.68708,0.04064
"Clear Creek County, Colorado",9257,114096,27.7,580,0.299233013,34606,395,34606,395,0.34606,0.00395
"Clearfield County, Pennsylvania",80539,454979,309.2,581,0.383913384,425136,5855,425136,5855,4.25136,0.05855
"Clearwater County, Idaho",8533,45407,28.6,582,0.335169343,84976,641,84976,641,0.84976,0.00641
"Clearwater County, Minnesota",8824,73381,54.3,583,0.61536718,67922,1174,67922,1174,0.67922,0.01174
"Cleburne County, Alabama",14939,83349,78.4,584,0.524800857,143930,2697,143930,2697,1.4393,0.02697
"Cleburne County, Arkansas",25361,185099,107.5,585,0.423879185,173304,5509,173304,5509,1.73304,0.05509
"Clermont County, Ohio",202166,1248134,385.3,586,0.190585954,1419823,12228,1419823,12228,14.19823,0.12228
"Cleveland County, Arkansas",8332,46998,38.4,587,0.46087374,80390,2763,80390,2763,0.8039,0.02763
"Cleveland County, North Carolina",97038,472353,445.6,588,0.45920155,946241,21155,946241,21155,9.46241,0.21155
"Cleveland County, Oklahoma",274024,1794345,974.5,589,0.355625785,2665249,29083,2665249,29083,26.65249,0.29083
"Clinch County, Georgia",6788,31488,87.1,590,1.28314673,113255,2537,113255,2537,1.13255,0.02537
"Clinton County, Illinois",37640,240327,69.5,591,0.184643996,577904,11488,577904,11488,5.77904,0.11488
"Clinton County, Indiana",32455,187557,109.7,592,0.33800647,395726,5684,395726,5684,3.95726,0.05684
"Clinton County, Iowa",47587,331295,161.9,593,0.340218967,528305,7649,528305,7649,5.28305,0.07649
"Clinton County, Kentucky",10208,58113,59.7,594,0.584835423,106912,2197,106912,2197,1.06912,0.02197
"Clinton County, Michigan",77321,683198,267.8,595,0.34634834,484713,6942,484713,6942,4.84713,0.06942
"Clinton County, Missouri",20495,110816,44.9,596,0.219077824,152428,5972,152428,5972,1.52428,0.05972
"Clinton County, New York",81224,483595,295.3,597,0.363562494,181864,2097,181864,2097,1.81864,0.02097
"Clinton County, Ohio",41869,222954,138,598,0.329599465,265798,4765,265798,4765,2.65798,0.04765
"Clinton County, Pennsylvania",39321,205475,164.4,599,0.4180972,202288,3822,202288,3822,2.02288,0.03822
"Cloud County, Kansas",9191,103349,47.3,600,0.514633881,90979,292,90979,292,0.90979,0.00292
"Coahoma County, Mississippi",24296,125073,242.4,601,0.997695094,336179,8313,336179,8313,3.36179,0.08313
"Coal County, Oklahoma",5666,46594,40.9,602,0.721849629,56120,531,56120,531,0.5612,0.00531
"Coamo Municipio, Puerto Rico",39796,86918,468.1,603,1.176248869,,,,,,
"Cobb County, Georgia",739072,4507098,1320,604,0.178602355,7141644,124980,7141644,124980,71.41644,1.2498
"Cochise County, Arizona",126516,748580,639.6,605,0.505548705,981329,23227,981329,23227,9.81329,0.23227
"Cochran County, Texas",2932,19195,24.8,606,0.845839018,26466,983,26466,983,0.26466,0.00983
"Cocke County, Tennessee",35262,162468,197.4,607,0.559809427,366627,6072,366627,6072,3.66627,0.06072
"Coconino County, Arizona",138639,758279,621.6,608,0.448358687,1730644,44978,1730644,44978,17.30644,0.44978
"Codington County, South Dakota",27963,201192,80,609,0.286092336,420688,6959,420688,6959,4.20688,0.06959
"Coffee County, Alabama",51073,352357,236,610,0.462083684,541309,5477,541309,5477,5.41309,0.05477
"Coffee County, Georgia",43048,171177,217.5,611,0.505249954,666080,16266,666080,16266,6.6608,0.16266
"Coffee County, Tennessee",54074,272940,167.9,612,0.310500425,600170,8432,600170,8432,6.0017,0.08432
"Coffey County, Kansas",8328,95034,33.8,613,0.40585975,67432,2817,67432,2817,0.67432,0.02817
"Coke County, Texas",3238,49243,33,614,1.019147622,41902,1389,41902,1389,0.41902,0.01389
"Colbert County, Alabama",54435,329825,253.4,615,0.465509323,663168,9998,663168,9998,6.63168,0.09998
"Cole County, Missouri",76749,401527,205.1,616,0.267234752,924058,9940,924058,9940,9.24058,0.0994
"Coleman County, Texas",8422,84209,61.3,617,0.727855616,50087,1842,50087,1842,0.50087,0.01842
"Coles County, Illinois",52540,308690,267.2,618,0.508564903,574280,11734,574280,11734,5.7428,0.11734
"Colfax County, Nebraska",10616,80865,24.5,619,0.230783723,280564,2490,280564,2490,2.80564,0.0249
"Colfax County, New Mexico",12522,64730,71.2,620,0.568599265,62222,2351,62222,2351,0.62222,0.02351
"Colleton County, South Carolina",37581,196106,189.6,621,0.504510258,345130,12317,345130,12317,3.4513,0.12317
"Collier County, Florida",356774,3573872,931.4,622,0.261061624,3942190,62115,3942190,62115,39.4219,0.62115
"Collin County, Texas",914075,6518803,1076.5,623,0.11776933,6722298,60125,6722298,60125,67.22298,0.60125
"Collingsworth County, Texas",3026,21356,15,624,0.4957039,20034,500,20034,500,0.20034,0.005
"Colonial Heights city, Virginia",17582,134404,68.1,625,0.387327949,,,,,,
"Colorado County, Texas",20913,132662,59,626,0.282121169,157623,1780,157623,1780,1.57623,0.0178
"Colquitt County, Georgia",45890,178850,260.9,627,0.56853345,611448,10939,611448,10939,6.11448,0.10939
"Columbia County, Arkansas",23992,100171,126.6,628,0.527675892,208849,5936,208849,5936,2.08849,0.05936
"Columbia County, Florida",68484,276810,204.5,629,0.298609894,1030587,17370,1030587,17370,10.30587,0.1737
"Columbia County, Georgia",143723,619842,191.8,630,0.133451153,1483192,17518,1483192,17518,14.83192,0.17518
"Columbia County, New York",61481,772631,244,631,0.396870578,297921,15507,297921,15507,2.97921,0.15507
"Columbia County, Oregon",50207,281097,125.3,632,0.249566793,105324,1363,105324,1363,1.05324,0.01363
"Columbia County, Pennsylvania",66615,387979,241.8,633,0.362981311,411899,14855,411899,14855,4.11899,0.14855
"Columbia County, Washington",3999,28950,14.5,634,0.362590648,9624,456,9624,456,0.09624,0.00456
"Columbia County, Wisconsin",56790,377029,99.8,635,0.175735165,548714,3817,548714,3817,5.48714,0.03817
"Columbiana County, Ohio",104584,578193,404,636,0.386292358,885371,25028,885371,25028,8.85371,0.25028
"Columbus County, North Carolina",56589,287451,304.2,637,0.537560303,569949,17789,569949,17789,5.69949,0.17789
"Colusa County, California",21479,130678,70.7,638,0.329158713,194134,1462,194134,1462,1.94134,0.01462
"Comal County, Texas",129100,846893,235.4,639,0.182339272,1040232,30992,1040232,30992,10.40232,0.30992
"Comanche County, Kansas",1741,28388,8.1,640,0.465249856,13991,528,13991,528,0.13991,0.00528
"Comanche County, Oklahoma",123066,776531,629.7,641,0.511676661,953692,8894,953692,8894,9.53692,0.08894
"Comanche County, Texas",13492,91894,75.8,642,0.561814409,121469,3123,121469,3123,1.21469,0.03123
"Comerío Municipio, Puerto Rico",19914,34301,301.5,643,1.514010244,,,,,,
"Concho County, Texas",3858,17513,8.5,644,0.22032141,31830,522,31830,522,0.3183,0.00522
"Concordia Parish, Louisiana",20211,94682,140.6,645,0.695660779,,,,,,
"Conecuh County, Alabama",12649,84005,121.9,646,0.963712546,151731,3316,151731,3316,1.51731,0.03316
"Conejos County, Colorado",8147,38046,42.3,647,0.519209525,35650,353,35650,353,0.3565,0.00353
"Contra Costa County, California",1123678,9092551,1992.7,648,0.17733728,6047298,65587,6047298,65587,60.47298,0.65587
"Converse County, Wyoming",14166,128040,31.4,649,0.22165749,95833,1113,95833,1113,0.95833,0.01113
"Conway County, Arkansas",20954,135587,104.1,650,0.49680252,168168,2226,168168,2226,1.68168,0.02226
"Cook County, Georgia",17190,69153,97.8,651,0.568935428,195869,4153,195869,4153,1.95869,0.04153
"Cook County, Illinois",5238541,43467486,23638.8,652,0.451247781,61922231,1737922,61922231,1737922,619.22231,17.37922
"Cook County, Minnesota",5270,64685,26.8,653,0.508538899,10897,0,10897,0,0.10897,0
"Cooke County, Texas",39064,217564,126.3,654,0.323315585,266590,4012,266590,4012,2.6659,0.04012
"Cooper County, Missouri",17620,110985,55.8,655,0.316685585,187228,1821,187228,1821,1.87228,0.01821
"Coos County, New Hampshire",32119,295048,143,656,0.445219341,76529,1717,76529,1717,0.76529,0.01717
"Coos County, Oregon",62921,344348,226.4,657,0.359816278,100097,969,100097,969,1.00097,0.00969
"Coosa County, Alabama",10955,61669,42.6,658,0.388863533,75978,1495,75978,1495,0.75978,0.01495
"Copiah County, Mississippi",28748,112892,146,659,0.507861416,382737,8883,382737,8883,3.82737,0.08883
"Corozal Municipio, Puerto Rico",34933,48226,327.7,660,0.93808147,,,,,,
"Corson County, South Dakota",4177,31039,95.5,661,2.286329902,55063,920,55063,920,0.55063,0.0092
"Cortland County, New York",48334,306699,205.3,662,0.424752762,233762,3310,233762,3310,2.33762,0.0331
"Coryell County, Texas",75818,414133,337.1,663,0.444617373,587742,4939,587742,4939,5.87742,0.04939
"Coshocton County, Ohio",36602,215193,149.9,664,0.409540462,196782,3178,196782,3178,1.96782,0.03178
"Costilla County, Colorado",3628,41021,58.9,665,1.623484013,18756,258,18756,258,0.18756,0.00258
"Cottle County, Texas",1498,20566,24.5,666,1.635514019,16500,904,16500,904,0.165,0.00904
"Cotton County, Oklahoma",6000,43958,30.3,667,0.505,49753,1356,49753,1356,0.49753,0.01356
"Cottonwood County, Minnesota",11437,108416,61.4,668,0.53685407,146363,1207,146363,1207,1.46363,0.01207
"Covington County, Alabama",37519,309595,270.5,669,0.720968043,459898,8953,459898,8953,4.59898,0.08953
"Covington County, Mississippi",19172,73678,95.5,670,0.498122262,292466,8640,292466,8640,2.92466,0.0864
"Covington city, Virginia",5675,44354,38.7,671,0.681938326,,,,,,
"Coweta County, Georgia",138015,644304,209.8,672,0.152012462,1192594,15068,1192594,15068,11.92594,0.15068
"Cowley County, Kansas",35732,259481,179,673,0.500951528,300467,1521,300467,1521,3.00467,0.01521
"Cowlitz County, Washington",103590,589188,450.5,674,0.434887537,340670,3495,340670,3495,3.4067,0.03495
"Craig County, Oklahoma",14563,106210,86.8,675,0.596031038,183688,739,183688,739,1.83688,0.00739
"Craig County, Virginia",5131,26753,9.3,676,0.181251218,19261,166,19261,166,0.19261,0.00166
"Craighead County, Arkansas",104246,419737,341.7,677,0.327782361,1331530,15823,1331530,15823,13.3153,0.15823
"Crane County, Texas",4836,24582,11.8,678,0.244003309,52569,1620,52569,1620,0.52569,0.0162
"Craven County, North Carolina",103374,558010,333.1,679,0.322228026,711912,13053,711912,13053,7.11912,0.13053
"Crawford County, Arkansas",62119,238951,190.8,680,0.307152401,623964,8131,623964,8131,6.23964,0.08131
"Crawford County, Georgia",12385,67009,54.1,681,0.436818732,63165,1305,63165,1305,0.63165,0.01305
"Crawford County, Illinois",19214,159205,71.8,682,0.373685854,192464,2962,192464,2962,1.92464,0.02962
"Crawford County, Indiana",10598,58432,54.4,683,0.513304397,74436,1061,74436,1061,0.74436,0.01061
"Crawford County, Iowa",17131,138010,72.3,684,0.422041912,369432,3161,369432,3161,3.69432,0.03161
"Crawford County, Kansas",39099,231280,230.7,685,0.590040666,450759,4168,450759,4168,4.50759,0.04168
"Crawford County, Michigan",13821,115527,80.7,686,0.583894074,65980,1524,65980,1524,0.6598,0.01524
"Crawford County, Missouri",24387,125137,118.1,687,0.484274408,202749,2319,202749,2319,2.02749,0.02319
"Crawford County, Ohio",42231,315749,216.3,688,0.512182994,293745,6305,293745,6305,2.93745,0.06305
"Crawford County, Pennsylvania",86847,574978,329.2,689,0.379057423,471365,8061,471365,8061,4.71365,0.08061
"Crawford County, Wisconsin",16313,147417,77.7,690,0.47630724,172208,1203,172208,1203,1.72208,0.01203
"Creek County, Oklahoma",70899,508789,311.9,691,0.439921579,558767,10784,558767,10784,5.58767,0.10784
"Crenshaw County, Alabama",13866,131029,104.1,692,0.750757248,164481,6665,164481,6665,1.64481,0.06665
"Crisp County, Georgia",23005,129409,176.2,693,0.765920452,227762,7080,227762,7080,2.27762,0.0708
"Crittenden County, Arkansas",49278,394465,501.9,694,1.018507245,693580,12474,693580,12474,6.9358,0.12474
"Crittenden County, Kentucky",9154,90079,67.9,695,0.741752239,49923,817,49923,817,0.49923,0.00817
"Crockett County, Tennessee",14554,106816,89.6,696,0.615638312,219259,5236,219259,5236,2.19259,0.05236
"Crockett County, Texas",3836,23296,20.9,697,0.544838373,63006,1698,63006,1698,0.63006,0.01698
"Crook County, Oregon",21717,95834,60.2,698,0.277202192,55863,1134,55863,1134,0.55863,0.01134
"Crook County, Wyoming",7347,68954,9.9,699,0.134748877,42778,768,42778,768,0.42778,0.00768
"Crosby County, Texas",5895,61026,64.2,700,1.089058524,43777,2454,43777,2454,0.43777,0.02454
"Cross County, Arkansas",17164,131755,108,701,0.629223957,187106,4808,187106,4808,1.87106,0.04808
"Crow Wing County, Minnesota",63505,486837,151.6,702,0.238721361,508675,8423,508675,8423,5.08675,0.08423
"Crowley County, Colorado",5514,14393,24.6,703,0.446137106,168542,1258,168542,1258,1.68542,0.01258
"Culberson County, Texas",2257,16763,29.4,704,1.302614089,33628,673,33628,673,0.33628,0.00673
"Culebra Municipio, Puerto Rico",1494,11450,41.8,705,2.797858099,,,,,,
"Cullman County, Alabama",81703,390956,295.7,706,0.361920615,915515,11278,915515,11278,9.15515,0.11278
"Culpeper County, Virginia",49795,233512,71.5,707,0.143588714,489769,4950,489769,4950,4.89769,0.0495
"Cumberland County, Illinois",10899,74216,44.4,708,0.407376824,113078,2753,113078,2753,1.13078,0.02753
"Cumberland County, Kentucky",6744,37885,41.7,709,0.618327402,57835,511,57835,511,0.57835,0.00511
"Cumberland County, Maine",289173,2399693,779,710,0.269388913,1140525,23648,1140525,23648,11.40525,0.23648
"Cumberland County, New Jersey",154952,749941,603.9,711,0.389733595,1518906,50129,1518906,50129,15.18906,0.50129
"Cumberland County, North Carolina",332766,1537051,1284.7,712,0.386067086,2140073,26378,2140073,26378,21.40073,0.26378
"Cumberland County, Pennsylvania",245801,1621641,434.4,713,0.176728329,1285052,42668,1285052,42668,12.85052,0.42668
"Cumberland County, Tennessee",58178,331244,222.8,714,0.382962632,564683,8182,564683,8182,5.64683,0.08182
"Cumberland County, Virginia",9797,46768,43.5,715,0.444013474,38015,512,38015,512,0.38015,0.00512
"Cuming County, Nebraska",9039,87105,21.9,716,0.242283438,99469,867,99469,867,0.99469,0.00867
"Currituck County, North Carolina",25247,214818,64.2,717,0.254287638,91522,1175,91522,1175,0.91522,0.01175
"Curry County, New Mexico",50283,266015,271.2,718,0.539347294,512331,5008,512331,5008,5.12331,0.05008
"Curry County, Oregon",22377,134496,81.5,719,0.364213255,30045,393,30045,393,0.30045,0.00393
"Custer County, Colorado",4505,26032,15.7,720,0.348501665,15176,45,15176,45,0.15176,0.00045
"Custer County, Idaho",4141,23290,18.9,721,0.456411495,25690,252,25690,252,0.2569,0.00252
"Custer County, Montana",11895,171256,58.5,722,0.491803279,111050,1249,111050,1249,1.1105,0.01249
"Custer County, Nebraska",10836,126917,44.4,723,0.409745293,80229,2296,80229,2296,0.80229,0.02296
"Custer County, Oklahoma",29169,118723,89.9,724,0.308203915,365106,3664,365106,3664,3.65106,0.03664
"Custer County, South Dakota",8519,61896,25.9,725,0.304026294,84046,1076,84046,1076,0.84046,0.01076
"Cuyahoga County, Ohio",1257401,12290240,9911.2,726,0.788229053,9179728,192353,9179728,192353,91.79728,1.92353
"Dade County, Georgia",16282,92709,70.6,727,0.433607665,116536,1371,116536,1371,1.16536,0.01371
"Dade County, Missouri",7581,41061,45.1,728,0.594908323,64607,2931,64607,2931,0.64607,0.02931
"Daggett County, Utah",702,28533,4,729,0.56980057,2142,0,2142,0,0.02142,0
"Dakota County, Minnesota",414655,3671064,688.1,730,0.165945183,3837949,47077,3837949,47077,38.37949,0.47077
"Dakota County, Nebraska",20529,95942,59.7,731,0.290808125,743366,13011,743366,13011,7.43366,0.13011
"Dale County, Alabama",49393,329751,263.6,732,0.533678861,502412,11811,502412,11811,5.02412,0.11811
"Dallam County, Texas",7207,58369,25.9,733,0.359372832,82121,2712,82121,2712,0.82121,0.02712
"Dallas County, Alabama",40755,275865,488,734,1.197399092,509578,9973,509578,9973,5.09578,0.09973
"Dallas County, Arkansas",7585,55783,41.9,735,0.552406065,65032,1301,65032,1301,0.65032,0.01301
"Dallas County, Iowa",80864,615809,88.9,736,0.109937673,1190126,13023,1190126,13023,11.90126,0.13023
"Dallas County, Missouri",16441,59052,46.9,737,0.285262454,91809,1741,91809,1741,0.91809,0.01741
"Dallas County, Texas",2552213,17386926,9336.4,738,0.365815863,30432728,358317,30432728,358317,304.32728,3.58317
"Dane County, Wisconsin",522837,3923161,1458.3,739,0.278920581,4589619,26310,4589619,26310,45.89619,0.2631
"Daniels County, Montana",1788,36108,4.6,740,0.257270694,16138,558,16138,558,0.16138,0.00558
"Danville city, Virginia",41911,317256,342.3,741,0.816730691,,,,,,
"Dare County, North Carolina",35412,274559,76.7,742,0.216593245,150581,898,150581,898,1.50581,0.00898
"Darke County, Ohio",51919,295995,141,743,0.271576879,492334,14729,492334,14729,4.92334,0.14729
"Darlington County, South Carolina",67572,333531,376.7,744,0.557479429,740783,16893,740783,16893,7.40783,0.16893
"Dauphin County, Pennsylvania",273329,1951992,964.1,745,0.352725104,1921275,60811,1921275,60811,19.21275,0.60811
"Davidson County, North Carolina",164118,815708,559,746,0.340608587,1281301,13837,1281301,13837,12.81301,0.13837
"Davidson County, Tennessee",678322,5104906,2843.3,747,0.419166708,10601286,98131,10601286,98131,106.01286,0.98131
"Davie County, North Carolina",41766,195497,97.1,748,0.232485754,293601,2479,293601,2479,2.93601,0.02479
"Daviess County, Indiana",32777,155697,94.5,749,0.288311926,303851,11744,303851,11744,3.03851,0.11744
"Daviess County, Kentucky",99258,607863,373.7,750,0.376493582,796932,12202,796932,12202,7.96932,0.12202
"Daviess County, Missouri",8300,45813,26.3,751,0.31686747,58508,1034,58508,1034,0.58508,0.01034
"Davis County, Iowa",8834,52540,27.5,752,0.311297261,76867,2038,76867,2038,0.76867,0.02038
"Davis County, Utah",334977,1529582,394.9,753,0.117888691,3160689,12857,3160689,12857,31.60689,0.12857
"Davison County, South Dakota",19753,113525,49.1,754,0.248569837,314354,5487,314354,5487,3.14354,0.05487
"Dawes County, Nebraska",8972,50308,28.7,755,0.319884084,68721,1724,68721,1724,0.68721,0.01724
"Dawson County, Georgia",23397,95810,35.3,756,0.150874044,278859,2826,278859,2826,2.78859,0.02826
"Dawson County, Montana",9324,90737,37.2,757,0.398970399,98703,2270,98703,2270,0.98703,0.0227
"Dawson County, Nebraska",23925,186611,86.7,758,0.362382445,435003,4270,435003,4270,4.35003,0.0427
"Dawson County, Texas",13095,85424,72.4,759,0.55288278,196655,6281,196655,6281,1.96655,0.06281
"Day County, South Dakota",5524,93410,48.7,760,0.881607531,60872,1899,60872,1899,0.60872,0.01899
"De Baca County, New Mexico",2016,24571,22.7,761,1.125992063,9207,0,9207,0,0.09207,0
"De Soto Parish, Louisiana",27164,160025,200.4,762,0.737741128,,,,,,
"De Witt County, Illinois",16176,138763,66.2,763,0.409248269,108883,2554,108883,2554,1.08883,0.02554
"DeKalb County, Alabama",71194,290210,288.9,764,0.405792623,993652,10825,993652,10825,9.93652,0.10825
"DeKalb County, Georgia",736066,4847966,2576.3,765,0.350009374,6448178,104623,6448178,104623,64.48178,1.04623
"DeKalb County, Illinois",104473,556661,404.2,766,0.386894221,888115,12927,888115,12927,8.88115,0.12927
"DeKalb County, Indiana",42524,231019,115.8,767,0.272316809,351049,6966,351049,6966,3.51049,0.06966
"DeKalb County, Missouri",12564,43073,24,768,0.191021968,92520,2083,92520,2083,0.9252,0.02083
"DeKalb County, Tennessee",19380,103482,79.3,769,0.409184727,261742,4509,261742,4509,2.61742,0.04509
"DeSoto County, Florida",35675,173904,253.6,770,0.710861948,494469,8804,494469,8804,4.94469,0.08804
"DeSoto County, Mississippi",173267,865132,382.9,771,0.220988417,2145489,22393,2145489,22393,21.45489,0.22393
"DeWitt County, Texas",20474,151565,77.1,772,0.376575169,254026,8545,254026,8545,2.54026,0.08545
"Deaf Smith County, Texas",18947,85960,75.7,773,0.399535547,365603,8644,365603,8644,3.65603,0.08644
"Dearborn County, Indiana",49564,297942,101.6,774,0.204987491,479511,9657,479511,9657,4.79511,0.09657
"Decatur County, Georgia",27023,143078,161.8,775,0.598749214,348938,8491,348938,8491,3.48938,0.08491
"Decatur County, Indiana",26480,150097,70.8,776,0.267371601,287644,14895,287644,14895,2.87644,0.14895
"Decatur County, Iowa",8105,64503,55.3,777,0.68229488,52084,334,52084,334,0.52084,0.00334
"Decatur County, Kansas",2891,65171,35.7,778,1.234866828,27378,146,27378,146,0.27378,0.00146
"Decatur County, Tennessee",11681,84401,85.1,779,0.728533516,176876,2873,176876,2873,1.76876,0.02873
"Deer Lodge County, Montana",9131,75236,56.4,780,0.617676049,104671,1090,104671,1090,1.04671,0.0109
"Defiance County, Ohio",38311,240172,103.5,781,0.270157396,301241,7546,301241,7546,3.01241,0.07546
"Del Norte County, California",27442,138463,184.8,782,0.673420305,85932,295,85932,295,0.85932,0.00295
"Delaware County, Indiana",115938,633210,820.1,783,0.707360831,994502,23963,994502,23963,9.94502,0.23963
"Delaware County, Iowa",17326,122710,34.4,784,0.198545538,211082,3677,211082,3677,2.11082,0.03677
"Delaware County, New York",45950,360397,204,785,0.443960827,102609,2023,102609,2023,1.02609,0.02023
"Delaware County, Ohio",193024,1545676,201.6,786,0.104442971,1386728,10166,1386728,10166,13.86728,0.10166
"Delaware County, Oklahoma",41878,200440,172.3,787,0.411433211,405229,8730,405229,8730,4.05229,0.0873
"Delaware County, Pennsylvania",563384,5006367,1674.3,788,0.297186289,4809301,240623,4809301,240623,48.09301,2.40623
"Delta County, Colorado",30217,179166,114.9,789,0.380249528,180926,3320,180926,3320,1.80926,0.0332
"Delta County, Michigan",36395,275334,164.7,790,0.452534689,344526,8861,344526,8861,3.44526,0.08861
"Delta County, Texas",5172,44995,47.9,791,0.926140758,19108,402,19108,402,0.19108,0.00402
"Denali Borough, Alaska",2303,33084,15.5,792,0.673035172,,,,,,
"Dent County, Missouri",15566,84186,93.6,793,0.601310549,80910,970,80910,970,0.8091,0.0097
"Denton County, Texas",781321,5181976,1283.7,794,0.164298669,5501166,55394,5501166,55394,55.01166,0.55394
"Denver County, Colorado",678467,5723511,2193.1,795,0.32324343,6796241,144144,6796241,144144,67.96241,1.44144
"Des Moines County, Iowa",39876,300736,163.3,796,0.40951951,445511,4374,445511,4374,4.45511,0.04374
"Deschutes County, Oregon",175321,764025,293,797,0.167122022,509974,4141,509974,4141,5.09974,0.04141
"Desha County, Arkansas",12094,88573,172.1,798,1.423019679,128227,1859,128227,1859,1.28227,0.01859
"Deuel County, Nebraska",1901,28225,11.1,799,0.583903209,7387,18,7387,18,0.07387,0.00018
"Deuel County, South Dakota",4282,58642,18.8,800,0.439047174,49532,590,49532,590,0.49532,0.0059
"Dewey County, Oklahoma",4904,78712,52,801,1.060358891,44500,359,44500,359,0.445,0.00359
"Dewey County, South Dakota",5709,34093,63.9,802,1.119285339,139762,1237,139762,1237,1.39762,0.01237
"Dickens County, Texas",2224,24171,16.6,803,0.746402878,15489,790,15489,790,0.15489,0.0079
"Dickenson County, Virginia",15181,87246,89.8,804,0.591528885,69727,807,69727,807,0.69727,0.00807
"Dickey County, North Dakota",5041,91107,19.5,805,0.38682801,78074,3212,78074,3212,0.78074,0.03212
"Dickinson County, Iowa",17000,182959,38.1,806,0.224117647,240184,2870,240184,2870,2.40184,0.0287
"Dickinson County, Kansas",19162,145059,69.2,807,0.361131406,140078,2233,140078,2233,1.40078,0.02233
"Dickinson County, Michigan",25694,181711,106,808,0.412547677,237377,6987,237377,6987,2.37377,0.06987
"Dickson County, Tennessee",51341,257250,139.5,809,0.271712666,596293,7642,596293,7642,5.96293,0.07642
"Dillingham Census Area, Alaska",4974,51078,31.8,810,0.639324487,,,,,,
